Id,Name,Type,DataType
ga:sessionsPerUser,Number of Sessions per User,metric,float
ga:totalRefunds,Refunds,metric,integer
ga:transactionsPerUser,Transactions per User,metric,float
ga:goal1Completions,Goal 1 Completions,metric,integer
ga:goal1Starts,Goal 1 Starts,metric,integer
ga:goal1Value,Goal 1 Value,metric,currency
ga:goal1ConversionRate,Goal 1 Conversion Rate,metric,percent
ga:goal1Abandons,Goal 1 Abandoned Funnels,metric,integer
ga:goal1AbandonRate,Goal 1 Abandonment Rate,metric,percent
ga:searchGoal1ConversionRate,Site Search Goal 1 Conversion Rate,metric,percent
ga:goal2Completions,Goal 2 Completions,metric,integer
ga:goal2Starts,Goal 2 Starts,metric,integer
ga:goal2Value,Goal 2 Value,metric,currency
ga:goal2ConversionRate,Goal 2 Conversion Rate,metric,percent
ga:goal2Abandons,Goal 2 Abandoned Funnels,metric,integer
ga:goal2AbandonRate,Goal 2 Abandonment Rate,metric,percent
ga:searchGoal2ConversionRate,Site Search Goal 2 Conversion Rate,metric,percent
ga:goal3Completions,Goal 3 Completions,metric,integer
ga:goal3Starts,Goal 3 Starts,metric,integer
ga:goal3Value,Goal 3 Value,metric,currency
ga:goal3ConversionRate,Goal 3 Conversion Rate,metric,percent
ga:goal3Abandons,Goal 3 Abandoned Funnels,metric,integer
ga:goal3AbandonRate,Goal 3 Abandonment Rate,metric,percent
ga:searchGoal3ConversionRate,Site Search Goal 3 Conversion Rate,metric,percent
ga:goal4Completions,Goal 4 Completions,metric,integer
ga:goal4Starts,Goal 4 Starts,metric,integer
ga:goal4Value,Goal 4 Value,metric,currency
ga:goal4ConversionRate,Goal 4 Conversion Rate,metric,percent
ga:goal4Abandons,Goal 4 Abandoned Funnels,metric,integer
ga:goal4AbandonRate,Goal 4 Abandonment Rate,metric,percent
ga:searchGoal4ConversionRate,Site Search Goal 4 Conversion Rate,metric,percent
ga:goal5Completions,Goal 5 Completions,metric,integer
ga:goal5Starts,Goal 5 Starts,metric,integer
ga:goal5Value,Goal 5 Value,metric,currency
ga:goal5ConversionRate,Goal 5 Conversion Rate,metric,percent
ga:goal5Abandons,Goal 5 Abandoned Funnels,metric,integer
ga:goal5AbandonRate,Goal 5 Abandonment Rate,metric,percent
ga:searchGoal5ConversionRate,Site Search Goal 5 Conversion Rate,metric,percent
ga:goal6Completions,Goal 6 Completions,metric,integer
ga:goal6Starts,Goal 6 Starts,metric,integer
ga:goal6Value,Goal 6 Value,metric,currency
ga:goal6ConversionRate,Goal 6 Conversion Rate,metric,percent
ga:goal6Abandons,Goal 6 Abandoned Funnels,metric,integer
ga:goal6AbandonRate,Goal 6 Abandonment Rate,metric,percent
ga:searchGoal6ConversionRate,Site Search Goal 6 Conversion Rate,metric,percent
ga:goal7Completions,Goal 7 Completions,metric,integer
ga:goal7Starts,Goal 7 Starts,metric,integer
ga:goal7Value,Goal 7 Value,metric,currency
ga:goal7ConversionRate,Goal 7 Conversion Rate,metric,percent
ga:goal7Abandons,Goal 7 Abandoned Funnels,metric,integer
ga:goal7AbandonRate,Goal 7 Abandonment Rate,metric,percent
ga:searchGoal7ConversionRate,Site Search Goal 7 Conversion Rate,metric,percent
ga:goal8Completions,Goal 8 Completions,metric,integer
ga:goal8Starts,Goal 8 Starts,metric,integer
ga:goal8Value,Goal 8 Value,metric,currency
ga:goal8ConversionRate,Goal 8 Conversion Rate,metric,percent
ga:goal8Abandons,Goal 8 Abandoned Funnels,metric,integer
ga:goal8AbandonRate,Goal 8 Abandonment Rate,metric,percent
ga:searchGoal8ConversionRate,Site Search Goal 8 Conversion Rate,metric,percent
ga:goal9Completions,Goal 9 Completions,metric,integer
ga:goal9Starts,Goal 9 Starts,metric,integer
ga:goal9Value,Goal 9 Value,metric,currency
ga:goal9ConversionRate,Goal 9 Conversion Rate,metric,percent
ga:goal9Abandons,Goal 9 Abandoned Funnels,metric,integer
ga:goal9AbandonRate,Goal 9 Abandonment Rate,metric,percent
ga:searchGoal9ConversionRate,Site Search Goal 9 Conversion Rate,metric,percent
ga:goal10Completions,Goal 10 Completions,metric,integer
ga:goal10Starts,Goal 10 Starts,metric,integer
ga:goal10Value,Goal 10 Value,metric,currency
ga:goal10ConversionRate,Goal 10 Conversion Rate,metric,percent
ga:goal10Abandons,Goal 10 Abandoned Funnels,metric,integer
ga:goal10AbandonRate,Goal 10 Abandonment Rate,metric,percent
ga:searchGoal10ConversionRate,Site Search Goal 10 Conversion Rate,metric,percent
ga:goal11Completions,Goal 11 Completions,metric,integer
ga:goal11Starts,Goal 11 Starts,metric,integer
ga:goal11Value,Goal 11 Value,metric,currency
ga:goal11ConversionRate,Goal 11 Conversion Rate,metric,percent
ga:goal11Abandons,Goal 11 Abandoned Funnels,metric,integer
ga:goal11AbandonRate,Goal 11 Abandonment Rate,metric,percent
ga:searchGoal11ConversionRate,Site Search Goal 11 Conversion Rate,metric,percent
ga:goal12Completions,Goal 12 Completions,metric,integer
ga:goal12Starts,Goal 12 Starts,metric,integer
ga:goal12Value,Goal 12 Value,metric,currency
ga:goal12ConversionRate,Goal 12 Conversion Rate,metric,percent
ga:goal12Abandons,Goal 12 Abandoned Funnels,metric,integer
ga:goal12AbandonRate,Goal 12 Abandonment Rate,metric,percent
ga:searchGoal12ConversionRate,Site Search Goal 12 Conversion Rate,metric,percent
ga:goal13Completions,Goal 13 Completions,metric,integer
ga:goal13Starts,Goal 13 Starts,metric,integer
ga:goal13Value,Goal 13 Value,metric,currency
ga:goal13ConversionRate,Goal 13 Conversion Rate,metric,percent
ga:goal13Abandons,Goal 13 Abandoned Funnels,metric,integer
